Time (s),SwitchedCurrent,AveragedCurrent,LinearizedCurrent,SwitchedVoltage,AveragedVoltage,LinearizedVoltage
0.0230999999999993,4.40955555095743,4.39587685805729,5.86116915547366,44.1493799087217,43.0213733503174,57.3618311611986
0.0231,4.409555550697,4.39587685805788,5.86116915547445,44.1493799087213,43.0213733503235,57.3618311612068
0.0231042052429921,2.74073837036653,4.39963643986521,5.86618193080343,43.8019824030983,43.060755542659,57.4143407544676
0.0231042052429927,2.74073837010551,4.3996364398658,5.86618193080421,43.8019824029901,43.0607555426651,57.4143407544758
0.0231199999999993,4.42575711284051,4.41368866940329,5.88491823464161,42.6627721100679,43.2080019604771,57.610669321768
0.02312,4.4257571129112,4.41368866940387,5.88491823464238,42.6627721100784,43.2080019604832,57.6106693217762
0.0231358334895052,6.10337306487142,4.42766628378403,5.9035550517387,44.1669951567009,43.3545416749083,57.8060556120771
0.0231358334895058,6.10337306493918,4.42766628378461,5.90355505173947,44.166995156812,43.3545416749144,57.8060556120852
0.0231399999999993,4.4451065088251,4.43132623607032,5.90843498746303,44.514763380276,43.3929247984676,57.8572331108177
0.02314,4.44510650856249,4.4313262360709,5.9084349874638,44.5147633802756,43.3929247984737,57.8572331108258
0.0231441564136623,2.79056918583895,4.43496975426,5.91329301107004,44.1738980243325,43.4311408304035,57.9081878205106
0.023144156413663,2.79056918557711,4.43496975426058,5.91329301107081,44.1738980242251,43.4311408304095,57.9081878205187
0.0231599999999993,4.46097345530983,4.44878886181854,5.93171848583646,43.0390734833528,43.5761345629508,58.101512796842
0.02316,4.46097345538006,4.44878886181911,5.93171848583722,43.0390734833632,43.5761345629569,58.10151279685
0.0231758817064315,6.12398728447234,4.4625306033289,5.95004080582457,44.5330301003898,43.7203936752925,58.2938582762496
0.0231758817064322,6.12398728453929,4.46253060332947,5.95004080582533,44.5330301004999,43.7203936752984,58.2938582762576
0.0231799999999993,4.47995395899839,4.46607585687822,5.95476780998773,44.8733175648499,43.7576240202217,58.3434987349837
0.02318,4.47995395873499,4.46607585687879,5.95476780998849,44.8733175648495,43.7576240202277,58.3434987349917
0.0231841085037591,2.83954349515538,4.46960523359623,5.95947364505478,44.5388129525113,43.7946928775026,58.3929238765755
0.0231841085037598,2.83954349489274,4.4696052335968,5.95947364505553,44.5388129524048,43.7946928775086,58.3929238765835
0.0231999999999993,4.49548619471362,4.48318653879931,5.97758204984015,43.4083618605063,43.9373860047917,58.5831813719192
0.0232,4.49548619478304,4.48318653879987,5.9775820498409,43.4083618605165,43.9373860047976,58.5831813719271
0.0232159289912381,6.14405544101881,4.49668775003005,5.99558366327484,44.8919996406401,44.0793168051225,58.7724224307407
0.0232159289912388,6.14405544108497,4.4966877500306,5.99558366327558,44.8919996407492,44.0793168051284,58.7724224307485
0.0232199999999993,4.51409239787587,4.50012023147492,6.00016030492218,45.2249908381192,44.1154134186825,58.8205512463164
0.02322,4.51409239761169,4.50012023147548,6.00016030492291,45.2249908381187,44.1154134186884,58.8205512463242
0.0232240615208849,2.88764683201324,4.50353737805552,6.00471650009075,44.896675927708,44.1513539981876,58.8684720166048
0.0232240615208856,2.88764683174981,4.50353737805607,6.00471650009149,44.8966759276023,44.1513539981934,58.8684720166126
0.0232399999999993,4.52928986698354,4.51687626641765,6.022501683856,43.7705772438863,44.2916992311541,59.0555989860854
0.02324,4.52928986705216,4.5168762664182,6.02250168385673,43.7705772438963,44.2916992311599,59.0555989860931
0.0232559753364972,6.16358103832518,4.53013235882669,6.04017647369177,45.2438542951018,44.4312546612007,59.2416728847604
0.0232559753364978,6.16358103839058,4.53013235882724,6.0401764736925,45.2438542952098,44.4312546612065,59.2416728847681
0.0232599999999993,4.54751643610151,4.53345398218497,6.04460530484197,45.5697326972965,44.4662364828789,59.2883153117557
0.02326,4.54751643583519,4.53345398218551,6.04460530484269,45.5697326972959,44.4662364828847,59.2883153117634
0.0232640154724978,2.9348649465873,4.53676079736638,6.04901439174855,45.247436899603,44.5010675741773,59.3347567649045
0.0232640154724985,2.9348649463231,4.53676079736693,6.04901439174927,45.2474368994981,44.501067574183,59.3347567649121
0.0232799999999993,4.56237911878521,4.54985272447483,6.06647029451565,44.1256608150587,44.6390182816085,59.5186910348361
0.02328,4.56237911885341,4.54985272447537,6.06647029451637,44.1256608150686,44.6390182816142,59.5186910348437
0.0232960207349314,6.18256757483372,4.56285918083525,6.08381223744013,45.5885457606516,44.7761519611521,59.7015359358402
0.0232960207349321,6.18256757489836,4.56285918083578,6.08381223744084,45.5885457607586,44.7761519611577,59.7015359358477
0.0232999999999993,4.5802207886212,4.56607184559989,6.08809579061637,45.9074936974165,44.8100378051,59.7467170602077
0.0233,4.58022078835413,4.56607184560043,6.08809579061709,45.9074936974158,44.8100378051057,59.7467170602152
0.0233039703659103,2.9811838019977,4.56927021364276,6.09236028152257,45.5910469570094,44.8437780726559,59.7917040827977
0.023303970365911,2.98118380172995,4.5692702136433,6.09236028152329,45.5910469569042,44.8437780726615,59.7917040828053
0.0233199999999993,4.59474870598206,4.58211070594858,6.10948093918407,44.4735548580633,44.9792883024866,59.9723843865999
0.02332,4.59474870604949,4.58211070594911,6.10948093918478,44.4735548580731,44.9792883024921,59.9723843866074
0.0233360651794152,6.20101856151498,4.59486308372459,6.12648411000419,45.9260268288658,45.1139545566062,60.151939390379
0.0233360651794158,6.20101856157954,4.59486308372512,6.12648411000489,45.9260268289729,45.1139545566117,60.1519393903864
0.0233399999999993,4.61220030253777,4.59796867288703,6.13062489577916,46.2382253951432,45.1467630931333,60.1956841058702
0.02334,4.61220030226997,4.59796867288756,6.13062489577985,46.2382253951425,45.1467630931389,60.1956841058775
0.0233439262082884,3.02658960823514,4.60106046167498,6.13474728106862,45.9274582791416,45.1794310583376,60.23924139302
0.023343926208289,3.02658960796665,4.60106046167551,6.13474728106932,45.9274582790372,45.1794310583432,60.2392413930274
0.0233599999999993,4.62639350828965,4.61364511975115,6.15152682613171,44.8142029947958,45.3124555646572,60.4166074036468
0.02336,4.62639350835633,4.61364511975166,6.1515268261324,44.8142029948054,45.3124555646626,60.416607403654
0.0233761086629753,6.21893748647863,4.62613904991805,6.16818540024777,46.2562514579746,45.4446094396385,60.59281257444
0.023376108662976,6.21893748654247,4.62613904991856,6.16818540024846,46.2562514580807,45.444609439644,60.5928125744473
0.0233799999999993,4.64344992334769,4.62913942823076,6.17218590480253,46.561880443626,45.4763591769246,60.6351455580025
0.02338,4.64344992307777,4.62913942823127,6.17218590480322,46.5618804436251,45.47635917693,60.6351455580098
